Timestamp,Age,Current year in college,Major field of study,Overall GPA,Are you involved in any extracurricular activities?,"If yes, please specify which extracurriculars",1. I have often succeeded on a test or task even though I was afraid that I would not do well before I undertook the task.,2. I can give the impression that I’m more competent than I really am.,3. I avoid evaluations if possible and have a dread of others evaluating me.,"4. When people praise me for something I’ve accomplished, I’m afraid I won’t be able to live up to their expectations of me in the future.",5. I sometimes think I obtained my present position or gained my present success because I happened to be in the right place at the right time or knew the right people.,6. I’m afraid people important to me may find out that I’m not as capable as they think I am.,7. I tend to remember the incidents in which I have not done my best more than those times I have done my best.,8. I rarely do a project or task as well as I’d like to do it.,9. Sometimes I feel or believe that my success in my life or in my job has been the result of some kind of error.,10. It’s hard for me to accept compliments or praise about my intelligence or accomplishments.,"11. At times, I feel my success has been due to some kind of luck.",12. I’m disappointed at times in my present accomplishments and think I should have accomplished much more.,13. Sometimes I’m afraid others will discover how much knowledge or ability I really lack.,14. I’m often afraid that I may fail at a new assignment or undertaking even though I generally do well at what I attempt.,"15. When I’ve succeeded at something and received recognition for my accomplishments, I have doubts that I can keep repeating that success.","16. If I receive a great deal of praise and recognition for something I’ve accomplished, I tend to discount the importance of what I’ve done.",17. I often compare my ability to those around me and think they may be more intelligent than I am.,"18. I often worry about not succeeding with a project or examination, even though others around me have considerable confidence that I will do well.","19. If I’m going to receive a promotion or gain recognition of some kind, I hesitate to tell others until it is an accomplished fact.",20. I feel bad and discouraged if I’m not “the best” or at least “very special” in situations that involve achievement.,Column 1
11/13/2025 9:51:03,23,Senior,Computer Science,3.78,Yes,"Weightlifting club, church choir",4,1,1,5,1,4,5,3,1,3,1,5,5,1,5,5,1,4,5,5,65
11/13/2025 9:51:37,21,Senior,Computer Science,3.5,No,,5,3,2,4,3,2,3,1,1,4,3,4,3,3,4,4,4,4,3,2,62
11/13/2025 9:52:04,21,Senior,Computer Science,3.49,No,,5,3,2,4,2,3,4,3,3,4,2,3,3,3,4,4,4,2,5,3,66
11/13/2025 9:52:24,22,Senior,Computer Science,3.5,No,,4,3,3,3,3,3,4,4,3,2,3,4,3,4,3,4,4,2,4,2,65
11/13/2025 9:52:41,21,Senior,Computer Science,3.47,No,,4,4,4,2,5,4,3,2,1,2,5,5,4,4,2,2,5,3,5,4,70
11/13/2025 9:52:58,21,Senior,Computer Science,3,Yes,Costume Theatre (sometimes) & Cosplay Club E-Board,4,4,4,5,5,4,5,4,4,4,5,5,4,4,5,5,5,3,4,3,86
11/13/2025 9:53:04,24,Senior,Computer Science,2.69,No,,4,4,4,2,1,4,5,3,1,2,3,2,4,3,3,4,2,4,3,1,59
11/13/2025 9:53:05,21,Senior,Computer Science,2.8,Yes,Radio Club,4,4,4,3,4,4,5,3,4,3,5,3,4,3,3,3,5,3,5,3,75
11/13/2025 9:53:24,22,Senior,Computer Science,3.12,Yes,,4,5,2,4,3,5,3,5,2,4,4,3,5,5,2,5,4,2,1,1,69
11/13/2025 9:53:37,24,Senior,Computer Science,3.75,Yes,"Radio Show, Starting a Storytelling Club, Running Community Events",5,5,1,5,5,2,4,5,4,5,5,5,2,5,5,5,2,5,5,1,81
11/13/2025 9:54:43,21,Senior,Computer Science,2.82,Yes,My jobs: Office administrator and dog walker,3,3,4,5,5,4,3,4,3,5,5,5,5,4,5,4,5,5,5,5,87
11/13/2025 9:54:44,23,Senior,Computer Science,2.5,No,,4,5,4,4,4,3,5,4,3,4,3,4,3,4,3,4,4,5,5,4,79
11/13/2025 9:54:48,22,Senior,Computer Science,3.92,No,,4,4,5,2,3,4,4,3,1,2,2,5,5,4,3,2,5,3,3,4,68
11/13/2025 11:58:11,27,Senior,Computer Science,2.8,No,,4,2,2,4,2,2,3,3,2,3,3,3,2,3,3,3,3,3,3,1,54
12/3/2025 10:49:24,22,Senior,Health Science ,3.2,Yes,Baseball,5,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,62
12/3/2025 10:50:20,20,Sophomore,Psychology,3.62,Yes,Baseball,4,3,4,5,4,5,3,5,3,4,4,5,4,4,4,5,5,4,4,5,84
12/3/2025 10:50:50,20,Sophomore,Health Science ,3.3,Yes,"Baseball,  investment club ",4,4,3,3,3,3,4,3,2,4,2,4,4,4,3,4,2,3,4,5,68
12/3/2025 10:52:15,21,Senior,Health Science,3.65,Yes,Baseball,4,2,2,2,4,3,4,2,2,4,3,4,4,4,2,3,4,4,3,2,62
12/3/2025 10:52:46,20,Sophomore,Finance,3.5,Yes,Baseball,4,3,4,4,3,4,5,3,2,4,2,5,4,4,3,3,5,4,4,3,73
12/3/2025 10:52:49,22,Senior,Business Administration ,3.5,No,,5,3,3,5,3,4,1,1,2,4,1,1,2,4,2,4,4,5,3,2,59
12/3/2025 10:52:55,21,Senior,Health Science ,3.2,Yes,Baseball,2,3,2,4,3,1,3,4,1,4,2,5,2,2,4,4,4,3,3,4,60
12/3/2025 10:54:44,18,Freshman,Criminology ,3.7,Yes,Baseball and Emergency Services and Public Safety Careers Club,4,5,2,5,2,3,4,2,1,5,2,5,5,3,5,1,5,4,5,2,70
12/3/2025 10:57:22,21,Senior,Business Administration,3.5,Yes,Baseball ,3,3,4,4,2,2,3,2,2,2,1,2,3,2,3,4,3,3,4,2,54
12/3/2025 10:59:49,21,Senior,Exercise Science,3.2,Yes,Baseball,3,3,2,1,4,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,32
12/3/2025 11:01:38,20,Junior,Finance,3.3,Yes,Baseball,4,4,2,5,3,4,4,4,2,4,2,4,3,4,3,2,4,3,4,3,68
12/3/2025 11:45:57,20,Junior,Finance ,3.3,No,,3,3,1,1,1,1,3,1,1,1,1,3,3,3,1,1,3,2,2,2,37
12/3/2025 11:52:39,19,Freshman,Finance,4,Yes,Baseball,5,5,5,5,4,3,3,3,3,5,2,4,1,4,2,3,4,3,3,3,70
12/3/2025 11:53:43,18,Freshman,Business Administration ,3.6,Yes,Baseball ,5,5,2,3,1,1,4,2,1,4,1,5,5,2,2,2,3,2,4,4,58
